"Дата";"Время";"Канал 12: Цифровой вход";"Канал 13: Цифровой вход";"Канал 14: Цифровой вход";"Канал 15: Цифровой вход";
"07.11.2018";"12:55:34.661";1;1;0;1;
"07.11.2018";"13:00:34.661";1;1;0;1;
"07.11.2018";"13:05:34.661";1;1;0;1;
"07.11.2018";"12:55:34.661";1;1;0;1;
"07.11.2018";"13:00:34.661";1;1;0;1;
"07.11.2018";"13:05:34.661";1;1;0;1;
"07.11.2018";"13:03:49.000";1;1;0;1;
"07.11.2018";"13:08:49.000";1;1;0;1;
"07.11.2018";"13:13:49.000";1;1;0;1;
"07.11.2018";"13:18:49.000";1;1;0;1;
"07.11.2018";"13:23:49.000";1;1;0;1;
"07.11.2018";"13:28:49.000";1;1;0;1;
"07.11.2018";"13:33:49.000";1;1;0;1;
"07.11.2018";"13:38:49.020";1;1;0;1;
"07.11.2018";"13:38:49.520";1;1;0;1;
"07.11.2018";"13:38:50.020";1;1;0;1;
"07.11.2018";"13:38:50.520";1;1;0;1;
"07.11.2018";"13:38:51.020";1;1;0;1;
"07.11.2018";"13:38:51.520";1;1;0;1;
"07.11.2018";"13:38:52.020";1;1;0;1;
"07.11.2018";"13:38:52.520";1;1;0;1;
"07.11.2018";"13:38:53.020";1;1;0;1;
"07.11.2018";"13:38:53.520";1;1;0;1;
"07.11.2018";"13:38:54.020";1;1;0;1;
"07.11.2018";"13:38:54.520";1;1;0;1;
"07.11.2018";"13:38:55.020";1;1;0;1;
"07.11.2018";"13:38:55.520";1;1;0;1;
"07.11.2018";"13:38:56.020";1;1;0;1;
"07.11.2018";"13:38:56.520";1;1;0;1;
"07.11.2018";"13:38:57.020";1;1;0;1;
"07.11.2018";"13:38:57.520";1;1;0;1;
"07.11.2018";"13:38:58.020";1;1;0;1;
"07.11.2018";"13:38:58.520";1;1;0;1;
"07.11.2018";"13:38:59.020";1;1;0;1;
"07.11.2018";"13:38:59.520";1;1;0;1;
"07.11.2018";"13:39:00.020";1;1;0;1;
"07.11.2018";"13:39:00.520";1;1;0;1;
"07.11.2018";"13:39:01.020";1;1;0;1;
"07.11.2018";"13:39:01.520";1;1;0;1;
"07.11.2018";"13:39:02.020";1;1;0;1;
"07.11.2018";"13:39:02.520";1;1;0;1;
"07.11.2018";"13:39:03.020";1;1;0;1;
"07.11.2018";"13:39:03.520";1;1;0;1;
"07.11.2018";"13:39:04.020";1;1;0;1;
"07.11.2018";"13:39:04.520";1;1;0;1;
"07.11.2018";"13:39:05.020";1;1;0;1;
"07.11.2018";"13:39:05.520";1;1;0;1;
"07.11.2018";"13:39:06.020";1;1;0;1;
"07.11.2018";"13:39:06.520";1;1;0;1;
"07.11.2018";"13:39:07.020";1;1;0;1;
"07.11.2018";"13:39:07.520";1;1;0;1;
"07.11.2018";"13:39:08.020";1;1;0;1;
"07.11.2018";"13:39:08.520";1;1;0;1;
"07.11.2018";"13:39:09.020";1;1;0;1;
"07.11.2018";"13:39:09.520";1;1;0;1;
"07.11.2018";"13:39:10.020";1;1;0;1;
